date,OWA-Guardian,OWA-Sentinel,OWA-Pragmatist,OWA-Analyst,OWA-Strategist,OWA-Adventurer,OWA-Innovator,OWA-Visionary,1/N,MinVar,MaxSharpe,MLP,ANFIS
2022-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-05,0.9916769774870037,0.9932842460958335,0.9904758739039919,0.9886220478106448,0.9878296929076544,0.9892242598991994,0.990951952551801,0.9891990893046658,0.9893740768309033,0.9893740768309033,0.9919159394953853,0.9825130008918638,0.9834133804065084
2022-01-06,0.9828636130583167,0.9893410209047062,0.9882634037372698,0.9879677789343382,0.9889200523185706,0.9927152592672499,0.9971477691399782,0.9899025948933007,0.9888564273209892,0.9888564273209892,0.986539331001084,0.9796712729392074,0.9767710445035435
2022-01-07,0.9764358837300364,0.9844663710150224,0.9862590609552444,0.9881528274399021,0.9908551841555427,0.9967146054128778,1.0024309953216108,0.9864405942933561,0.9869055966714672,0.9869055966714672,0.9788402761058095,0.9700449644375668,0.9680202752095313
2022-01-10,0.9739345351942801,0.9818422709738939,0.985233572431299,0.9883164163376262,0.9917818711597894,0.9981339023938429,1.0035064190932697,0.9920203217103123,0.9860569945660438,0.9860569945660438,0.9773049454009572,0.9688898658625023,0.9700549856800712
2022-01-11,0.9760490979509894,0.9871143343084658,0.9950024705269233,1.0015678782166786,1.008160027321792,1.0179119476476677,1.026279893656172,1.0077477396422938,0.9921450340895647,0.9921450340895647,0.9768096221050832,0.9774178464350427,0.976591624385256
2022-01-12,0.9803336913743196,0.9890700781120279,0.9969876213510036,1.00354708944286,1.0100444639327202,1.0193264936401312,1.0271440938101384,1.016000402792005,0.9940202461231732,0.9940202461231732,0.9810091262157944,0.9796540430954351,0.9834536818905085
2022-01-13,0.9691564949282939,0.9821302059392972,0.9881495336663761,0.9933660366570841,0.9989704157425555,1.0082079683834446,1.0159241769177574,0.9955834864303321,0.9817008042084151,0.9817008042084151,0.9656567101551073,0.9611265062734823,0.967083235814155
2022-01-14,0.9721045180044734,0.9833887503593253,0.9923906227018635,0.9999449440330421,1.0075221298598234,1.019439432371007,1.0283032754711972,1.008108018528734,0.9812750485182581,0.9812750485182581,0.9677985433276067,0.9561570854771203,0.9695398536990196
2022-01-18,0.9575624587356676,0.9726223718310636,0.9823334350181067,0.9906278513671468,0.9993294045015435,1.0134774969700866,1.0248802342375198,1.0044732351486862,0.9677299913801956,0.9677299913801956,0.9539347216521821,0.9402332688882225,0.9566515594150204
2022-01-19,0.9626366678009987,0.9732800385561918,0.9802107297199009,0.9865676109334405,0.9940366985068726,1.0080612643804259,1.0194691702307142,0.9975217634412139,0.9620246160542019,0.9620246160542019,0.9570317255198588,0.9296446911682127,0.9486712688941917
2022-01-20,0.9568781329363739,0.9668808668394704,0.9735808673716573,0.9798248833408423,0.9873938806443434,1.0022808800543597,1.014168346136814,0.9958152347134968,0.9533806516195173,0.9533806516195173,0.9520926338239349,0.918368432392204,0.9409126900295126
2022-01-21,0.9523982458729869,0.9624245528071294,0.965830480292114,0.9695586457183545,0.9751446244901412,0.9884011237849092,0.9992570184020575,0.9761116344209854,0.936016073005236,0.936016073005236,0.9462167835751126,0.8981208048079754,0.9238103686376999
2022-01-24,0.9560520277515075,0.9648249440295688,0.9679720414003821,0.9716008912085129,0.977302267575824,0.9902111811494841,1.002108009760596,0.9745282441385998,0.9348498637919437,0.9348498637919437,0.9435995691826882,0.9001126560636125,0.9249405666057557
2022-01-25,0.9458144907176164,0.9599467647317338,0.9664783716055192,0.9729364380533848,0.981347365215142,0.9981328623032454,1.014121402813042,0.9835371092969595,0.9272254369139418,0.9272254369139418,0.9365832056065521,0.8887831132701693,0.9157999611100107
