grupo,n,brecha_abs_media,corr_brecha_sorpresa,lambda_estimado,migraciones_medias
emocional,30,0.18096907109567273,0.4542390853137001,1.6363073235275527,2.8333333333333335
logico,30,0.04997053491738308,0.012014258338972563,2.1685868996870727,2.7
