date,OWA-Guardian,OWA-Sentinel,OWA-Pragmatist,OWA-Analyst,OWA-Strategist,OWA-Adventurer,OWA-Innovator,OWA-Visionary,1/N,MinVar,MaxSharpe,MLP,ANFIS
2019-04-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-03,1.014006660804606,1.0136765082176804,1.0130055536442122,1.012196479079381,1.0107246361683806,1.0074433688851403,1.0065240218530773,1.0056946559146183,1.0090001303030889,1.0090001303030889,1.0086280837425852,1.0110471883013203,1.010306619872121
2019-04-04,1.0100333448412147,1.0102008877024755,1.0095827641986206,1.0089938448453013,1.0077965095231791,1.0045306765533857,1.0037563738905546,1.0032056412571149,1.0067495345885615,1.0067495345885615,1.0051373134324042,1.0095176922083808,1.007804832565349
2019-04-05,1.0096909249238692,1.0087691540831036,1.0069927065819106,1.0034314514369456,1.0012285556347567,0.9972451217368283,0.9961765324567389,0.9949324309653692,1.005338971342761,1.005338971342761,0.9950691847204187,1.0138310966255009,1.0064304830669732
2019-04-08,1.0157462073752708,1.0138114167753107,1.0102518982218025,1.0064435264632308,1.0025879902770864,0.9970880390815676,0.9955555571676029,0.993880563414274,1.00915934409633,1.00915934409633,0.9968766726820532,1.0175558524778896,1.0115931800691886
2019-04-09,1.0244494446446928,1.0226129102909314,1.0185226536124437,1.014675385916668,1.0108646338104939,1.004853829152766,1.0031437264990497,1.001065389447436,1.0150792670098612,1.0150792670098612,1.0060996573875944,1.0234508634326678,1.0182272004160435
2019-04-10,1.026634846671419,1.0246894355093488,1.021791029321653,1.0177067966198636,1.013565771549646,1.0076647201360711,1.0059006622205082,1.003651909732387,1.0214566834313,1.0214566834313,1.0083622713785434,1.026752451779964,1.021300363756562
2019-04-11,1.0213530954738084,1.0199482408351572,1.015869236366812,1.0123511741275562,1.0090993319014598,1.003954753086869,1.0025739802305575,1.0007987376476604,1.0169811083799525,1.0169811083799525,1.003563912017631,1.0213065083775885,1.0157629589759465
2019-04-12,1.0221540297799425,1.020599789892019,1.0163097335371751,1.0127058987191517,1.0094440774297626,1.0042845491922365,1.002872584120338,1.001061745138549,1.0182509869895615,1.0182509869895615,1.0041590194305456,1.021828109733021,1.0162946551641159
2019-04-15,1.0073849418991299,1.0059109173926144,1.0010893871406248,0.9981812802518604,0.9936791330331776,0.9878178165809175,0.9864951132476221,0.9852707754468671,1.0059817636722812,1.0059817636722812,0.9869274653348656,1.0091102598085966,1.0014455790353343
2019-04-16,1.0073849418991299,1.0059109173926144,1.0010893871406248,0.9981812802518604,0.9936791330331776,0.9878178165809175,0.9864951132476221,0.9852707754468671,1.0059817636722812,1.0059817636722812,0.9869274653348656,1.0091102598085966,1.0014455790353343
2019-04-17,1.0069730076856653,1.0057794339907489,1.0039352983265053,1.0022422717425887,1.0007054114380298,0.9978323598764894,0.9970479210293781,0.99675234494531,1.0174753170970126,1.0174753170970126,0.997011770831161,1.0123844767736463,1.0032494169829544
2019-04-18,1.0069730076856653,1.0057794339907489,1.0039352983265053,1.0022422717425887,1.0007054114380298,0.9978323598764894,0.9970479210293781,0.99675234494531,1.0174753170970126,1.0174753170970126,0.997011770831161,1.0123844767736463,1.0032494169829544
2019-04-19,1.0069730076856653,1.0057794339907489,1.0039352983265053,1.0022422717425887,1.0007054114380298,0.9978323598764894,0.9970479210293781,0.99675234494531,1.0174753170970126,1.0174753170970126,0.997011770831161,1.0123844767736463,1.0032494169829544
2019-04-22,1.019340143513125,1.0183933028269423,1.0137334665915505,1.0111539873662907,1.0077928985935167,1.003295774519296,1.002329335530821,1.0011231746500642,1.0173148632228255,1.0173148632228255,1.0047412689072936,1.0195571016701384,1.0143525261782496
2019-04-23,1.019340143513125,1.0183933028269423,1.0137334665915505,1.0111539873662907,1.0077928985935167,1.003295774519296,1.002329335530821,1.0011231746500642,1.0173148632228255,1.0173148632228255,1.0047412689072936,1.0195571016701384,1.0143525261782496
2019-04-24,1.024423571684395,1.0229902238745754,1.0164476801674711,1.0137522089418007,1.0091934175322468,1.0060463164327855,1.0056805036436813,1.0049844160150627,1.0248195593488738,1.0248195593488738,1.0102661386399405,1.027400008659931,1.0225370878263385
