slice,t,profile,alpha,ret,vol,target_vol,expected_vol
train,126,Guardian,0.0625,-0.0393696026749662,0.23042160720580218,0.11682609060432235,0.1400477790786559
train,126,Sentinel,0.1875,-0.044890166263699065,0.21172924455159742,0.12174560685863267,0.13073383815236464
train,126,Pragmatist,0.3125,-0.057484489993419416,0.20779973964371182,0.12666512311294298,0.1266402449857719
train,126,Analyst,0.4375,-0.04227658823591429,0.21285229464686273,0.1315846393672533,0.131516552092338
train,126,Strategist,0.5625,0.008449705730774033,0.22291642940732453,0.1365041556215636,0.13652196995341867
train,126,Adventurer,0.6875,0.030228060733683348,0.23644378060178875,0.1414236718758739,0.14153623030652063
train,126,Innovator,0.8125,0.044777660117368626,0.24490021995674602,0.14634318813018424,0.14642813448201686
train,126,Visionary,0.9375,0.052293396442474056,0.2517994845318547,0.15126270438449455,0.15128407004678396
train,189,Guardian,0.0625,0.08792327197141288,0.1507699561334544,0.15146674339924873,0.15596689067908268
train,189,Sentinel,0.1875,0.08138009535744911,0.1432411018821878,0.1588305631717084,0.15894242443339676
train,189,Pragmatist,0.3125,0.08153605288361859,0.1483461593190883,0.16619438294416805,0.1662728775551714
train,189,Analyst,0.4375,0.07918062502774519,0.15500490424198424,0.1735582027166277,0.173673801211223
train,189,Strategist,0.5625,0.08118759864896291,0.15881066849475628,0.18092202248908737,0.18083348721827516
train,189,Adventurer,0.6875,0.09104742421543134,0.1607332104714317,0.18828584226154702,0.1881226297988439
train,189,Innovator,0.8125,0.09124513463046577,0.16394430131600213,0.1956496620340067,0.19558017830890115
train,189,Visionary,0.9375,0.10434846050792296,0.16769190520208188,0.20301348180646633,0.20324380450874407
train,252,Guardian,0.0625,0.054240210382917715,0.16643559157879045,0.17087631287124538,0.17073262452301882
train,252,Sentinel,0.1875,0.04893406051649292,0.1806486548476131,0.17840451599089932,0.1784864840796651
train,252,Pragmatist,0.3125,0.04666897146901809,0.19363034920256803,0.18593271911055326,0.18583588637597062
train,252,Analyst,0.4375,0.0575693201796162,0.20467350292710637,0.1934609222302072,0.1932197725101886
train,252,Strategist,0.5625,0.05360624783842628,0.2153318109344785,0.20098912534986113,0.20083640767434896
train,252,Adventurer,0.6875,0.048140669177639525,0.21575882663980836,0.2085173284695151,0.2083410496938045
train,252,Innovator,0.8125,0.04103913745379699,0.22404245329889538,0.21604553158916903,0.21634020970163526
train,252,Visionary,0.9375,0.03610381509808479,0.23076473014932444,0.22357373470882297,0.22326107821191143
train,315,Guardian,0.0625,0.037288827495897285,0.10658356765480761,0.14062973032900805,0.14065897493939702
train,315,Sentinel,0.1875,0.037089930632398474,0.11099819607528703,0.1512285019326583,0.15144104466777944
train,315,Pragmatist,0.3125,0.027972178303485702,0.12101895593733783,0.1618272735363085,0.16167884943155286
train,315,Analyst,0.4375,0.030360636919719824,0.12661098265901985,0.17242604513995874,0.17218120632021855
train,315,Strategist,0.5625,0.030977026676814443,0.13575897750432966,0.18302481674360893,0.18303202673560653
train,315,Adventurer,0.6875,0.09190987791417234,0.15084237351580734,0.19362358834725918,0.19392975732279508
train,315,Innovator,0.8125,0.10275984556825153,0.1601637540256651,0.20422235995090937,0.20407728584376209
train,315,Visionary,0.9375,0.08504330071635799,0.15694651333451812,0.21482113155455962,0.2147424402509089
train,378,Guardian,0.0625,-0.03426660076184883,0.09373880089561232,0.12303315688976636,0.12295923310523708
train,378,Sentinel,0.1875,0.023451017298907376,0.09749186549366128,0.13485478298213846,0.1348601815742577
train,378,Pragmatist,0.3125,0.03316529972847858,0.09367390974087024,0.14667640907451057,0.14685418677065853
train,378,Analyst,0.4375,0.042722277147292737,0.0970248833856497,0.15849803516688268,0.15823282578907472
train,378,Strategist,0.5625,0.0520660269590833,0.10167525049534054,0.1703196612592548,0.17049706259055564
train,378,Adventurer,0.6875,0.12093525424022498,0.12519665358684073,0.1821412873516269,0.1820340179323214
train,378,Innovator,0.8125,0.13967127779546967,0.1303001223911735,0.19396291344399902,0.19433119903909857
train,378,Visionary,0.9375,0.1541903765147668,0.1346633750023188,0.2057845395363711,0.20550730807780418
train,441,Guardian,0.0625,0.011535586538805813,0.08618999764658429,0.09736599465184992,0.09732591757288374
train,441,Sentinel,0.1875,0.012516372022770512,0.09095039922555488,0.10304590266171952,0.10301280748390229
train,441,Pragmatist,0.3125,0.0027000271119841275,0.09905936777712636,0.10872581067158912,0.10885325056778929
train,441,Analyst,0.4375,0.004983101989548309,0.10910114905015822,0.11440571868145871,0.11434956530461893
train,441,Strategist,0.5625,0.0007861584733130653,0.11519657543031456,0.12008562669132831,0.11995168911966936
train,441,Adventurer,0.6875,0.10202711475908198,0.15789531669142778,0.12576553470119792,0.1258488709580572
train,441,Innovator,0.8125,0.11137376390392513,0.17503573440820272,0.1314454427110675,0.1313606911740093
train,441,Visionary,0.9375,0.10611975652328151,0.1871916706374825,0.1371253507209371,0.13730469644376075
train,504,Guardian,0.0625,0.06879216675431997,0.08277581113415489,0.09264165661897578,0.0947568862712528
train,504,Sentinel,0.1875,0.07508781170261351,0.0719294777863916,0.10140403546753422,0.10147074144631513
train,504,Pragmatist,0.3125,0.03791919799777028,0.099161525224444,0.11016641431609268,0.10347223028245695
train,504,Analyst,0.4375,0.0090919899877073,0.10111137277772438,0.11892879316465113,0.10864876052879244
train,504,Strategist,0.5625,0.0014971092102182434,0.10204131361289842,0.1276911720132096,0.11082671554338965
train,504,Adventurer,0.6875,-0.00960932333876512,0.10295603403986654,0.13645355086176802,0.11396673691227716
train,504,Innovator,0.8125,-0.02257672082388523,0.10512739300851837,0.14521592971032649,0.11639324587831967
train,504,Visionary,0.9375,-0.012165655637329399,0.108033205044101,0.15397830855888495,0.15432620762336846
train,567,Guardian,0.0625,0.046076066590476014,0.0845539755026474,0.07274289772377153,0.07633665339903214
train,567,Sentinel,0.1875,0.07345272033824123,0.08807174659971119,0.0848840441045502,0.08493258363921084
train,567,Pragmatist,0.3125,0.07849157350723582,0.09596464722244308,0.09702519048532887,0.09695790503733405
train,567,Analyst,0.4375,0.08299768178440277,0.10403203535445618,0.10916633686610755,0.1092168035431934
train,567,Strategist,0.5625,0.08416321996874523,0.10463909967407801,0.12130748324688623,0.11068346953395292
train,567,Adventurer,0.6875,0.07905924417374025,0.1064716940453968,0.1334486296276649,0.10748545982397585
train,567,Innovator,0.8125,0.027455391785909663,0.10493715140106821,0.14558977600844358,0.09762144054426045
train,567,Visionary,0.9375,0.09741631222431718,0.14852297642860693,0.15773092238922223,0.15805981860074284
train,630,Guardian,0.0625,0.0779042260386977,0.08576988171213525,0.06083773135239524,0.07170966557188603
train,630,Sentinel,0.1875,0.0609797072712616,0.08856449988884771,0.0715167157514585,0.07161764742884379
train,630,Pragmatist,0.3125,0.06135201713819895,0.09796001717001586,0.08219570015052177,0.08218508983466931
train,630,Analyst,0.4375,0.0527412496542449,0.11185969197515234,0.09287468454958503,0.09280355170310943
train,630,Strategist,0.5625,0.046522783841211175,0.11491575332471302,0.1035536689486483,0.09501722918781252
train,630,Adventurer,0.6875,0.057750917299254495,0.11333727051059153,0.11423265334771157,0.09733412764751918
train,630,Innovator,0.8125,0.08995334842658505,0.1368503227683669,0.12491163774677483,0.12479693030678644
train,630,Visionary,0.9375,0.08659468539868966,0.13429375455742681,0.1355906221458381,0.13535376194565385
train,693,Guardian,0.0625,0.11185567591319114,0.10891763432806736,0.06418004184731299,0.09334531940755414
train,693,Sentinel,0.1875,0.11140292326872626,0.10622072587892509,0.07548790803819688,0.09254255530026563
train,693,Pragmatist,0.3125,0.09267870206352875,0.08347443385046904,0.08679577422908075,0.08673409914525534
train,693,Analyst,0.4375,0.09891067003264883,0.09046888394667732,0.09810364041996464,0.09821617484531517
train,693,Strategist,0.5625,0.10390469606530965,0.09928198014237766,0.10941150661084852,0.10936105093906323
train,693,Adventurer,0.6875,0.10437519792236927,0.10070587988897961,0.1207193728017324,0.11053942674345021
train,693,Innovator,0.8125,0.10406299344835905,0.097009335653202,0.13202723899261629,0.10973550545440705
train,693,Visionary,0.9375,0.1384099969037374,0.11729163188437222,0.14333510518350015,0.143161916730932
train,756,Guardian,0.0625,0.0189566356741845,0.23332915985246855,0.05851046058037016,0.0766999991914812
train,756,Sentinel,0.1875,0.02539578585767292,0.2401542978459847,0.06702021944870327,0.07635234174741286
train,756,Pragmatist,0.3125,-0.00718387190516877,0.23706892420753434,0.07552997831703638,0.07551382556297952
train,756,Analyst,0.4375,-0.0060873253506006095,0.24180998879853405,0.0840397371853695,0.08400112303956059
train,756,Strategist,0.5625,-0.0054369552946853745,0.23807065706221317,0.0925494960537026,0.09258861314471634
train,756,Adventurer,0.6875,-0.0014943195118216563,0.24396740943137674,0.10105925492203571,0.10127102682899236
train,756,Innovator,0.8125,0.0004568845071347702,0.24516729997678796,0.10956901379036882,0.10974647975547314
train,756,Visionary,0.9375,-0.007889902492169344,0.249600472272098,0.11807877265870192,0.11790730827836265
train,819,Guardian,0.0625,0.058048275625144176,0.1471123510202183,0.13805240761208512,0.17462977163188512
train,819,Sentinel,0.1875,0.035499610047238554,0.1319712874876874,0.14649559377210877,0.15229279809088392
train,819,Pragmatist,0.3125,0.04279494039578004,0.12047041111866266,0.15493877993213243,0.154810545535968
train,819,Analyst,0.4375,0.04821635574592716,0.12548391510869622,0.16338196609215605,0.16338855029629779
train,819,Strategist,0.5625,0.050967002446415714,0.13094736830894968,0.1718251522521797,0.1717261063421044
train,819,Adventurer,0.6875,0.06684370413672594,0.1410198012409594,0.18026833841220335,0.18021748920762232
train,819,Innovator,0.8125,0.0778288237500274,0.1479304439070741,0.188711524572227,0.18850439137617014
train,819,Visionary,0.9375,0.08843650249433267,0.1587642934566383,0.19715471073225066,0.19705939666402084
train,882,Guardian,0.0625,0.1293504022179211,0.09168832921811762,0.1517332126533903,0.18017395099366365
train,882,Sentinel,0.1875,0.1203179823256714,0.08403664061846025,0.1616203367817414,0.16160785113232629
train,882,Pragmatist,0.3125,0.13102808639155397,0.07886360256683762,0.1715074609100925,0.17152837438768478
train,882,Analyst,0.4375,0.12889370390890953,0.08328778737353511,0.1813945850384436,0.18149572290890226
train,882,Strategist,0.5625,0.12304155430093972,0.09192087650516753,0.1912817091667947,0.19130565334237243
train,882,Adventurer,0.6875,0.12327861418358799,0.10073694585338705,0.20116883329514582,0.20109186067197543
train,882,Innovator,0.8125,0.13330799731219234,0.10956071637071205,0.21105595742349692,0.21102383217370632
train,882,Visionary,0.9375,0.139616883787712,0.11702085440769325,0.22094308155184805,0.22070223210747086
train,945,Guardian,0.0625,-0.06814876871669426,0.29448675281499287,0.09661893176489687,0.12300275696841627
train,945,Sentinel,0.1875,-0.07097915448472837,0.2964720769846369,0.1087488452653462,0.12294651446579256
train,945,Pragmatist,0.3125,-0.07268054773216479,0.29775167125033486,0.12087875876579551,0.12286795331334911
train,945,Analyst,0.4375,-0.1544545158045236,0.36158483721851775,0.13300867226624485,0.13299022543963748
train,945,Strategist,0.5625,-0.1959169221123312,0.3991288830215445,0.14513858576669414,0.14520105606995548
train,945,Adventurer,0.6875,-0.19972191408111595,0.42000872646615306,0.15726849926714348,0.1572402977271432
train,945,Innovator,0.8125,-0.22191830824743145,0.42899775175239135,0.1693984127675928,0.15922714186440867
train,945,Visionary,0.9375,-0.2219183129026519,0.42899776165380815,0.1815283262680421,0.15922714582388245
train,1008,Guardian,0.0625,0.09060636540656616,0.08818352187583865,0.14796953423929193,0.14811137663352056
train,1008,Sentinel,0.1875,0.1331929454431822,0.09701545317927744,0.16897531228120408,0.169288349340061
train,1008,Pragmatist,0.3125,0.15698526076382802,0.10225759043902528,0.18998109032311622,0.18981972792333576
train,1008,Analyst,0.4375,0.19201525520941878,0.1208148270261478,0.21098686836502836,0.21105111542742766
train,1008,Strategist,0.5625,0.20072040546961936,0.12825623381643694,0.2319926464069405,0.22231958908889007
train,1008,Adventurer,0.6875,0.20072040510129038,0.12825623381718826,0.2529984244488527,0.22231958976657884
train,1008,Innovator,0.8125,0.1980424124837079,0.12881442457762288,0.2740042024907648,0.22263736640181161
train,1008,Visionary,0.9375,0.19975508809710088,0.1284431715417825,0.2950099805326769,0.222423678171012
train,1071,Guardian,0.0625,0.0745863367927116,0.10367951739845345,0.1552590936857519,0.15535152532438148
train,1071,Sentinel,0.1875,0.064857067115299,0.1117680411526668,0.1773688496681392,0.177250878894278
train,1071,Pragmatist,0.3125,0.04923159881702354,0.12503224643652974,0.19947860565052655,0.19957534600068058
train,1071,Analyst,0.4375,0.028628459736140643,0.14800159287669395,0.2215883616329139,0.22131136238515084
train,1071,Strategist,0.5625,0.04282322490552619,0.15836203782730804,0.24369811761530125,0.2392561677034269
train,1071,Adventurer,0.6875,0.042823229683421775,0.15836203374424537,0.2658078735976886,0.23925616821030796
train,1071,Innovator,0.8125,0.04282322774437299,0.1583620354014547,0.28791762958007594,0.23925616800514968
train,1071,Visionary,0.9375,0.04555202594519165,0.16292369967426448,0.31002738556246323,0.242507401883198
train,1134,Guardian,0.0625,0.05430842006621722,0.15512643001422094,0.09252317771821422,0.09558541259626617
train,1134,Sentinel,0.1875,0.018851430068026375,0.15154469493199701,0.10420953555465919,0.10416719414834281
train,1134,Pragmatist,0.3125,1.3078550683981623e-05,0.15889909054538706,0.11589589339110415,0.11575757889920543
train,1134,Analyst,0.4375,-0.01805147758084611,0.17248740099897764,0.1275822512275491,0.12769030044965313
train,1134,Strategist,0.5625,-0.032983817676895205,0.18617795963546419,0.13926860906399408,0.13928822183540582
train,1134,Adventurer,0.6875,-0.012292128204013417,0.20187841452031607,0.15095496690043902,0.1508597374296875
train,1134,Innovator,0.8125,0.002683510859764833,0.19676978276791407,0.16264132473688397,0.1628953924461392
train,1134,Visionary,0.9375,0.004688787844461548,0.20115171455389616,0.17432768257332895,0.17438308742178232
train,1197,Guardian,0.0625,-0.015398020623896166,0.09115411981416871,0.11695710510568762,0.12183731588732866
train,1197,Sentinel,0.1875,0.04097292376499224,0.08031572656641332,0.12863884580362178,0.12854274695686643
train,1197,Pragmatist,0.3125,0.08094658742608572,0.08464925853925429,0.140320586501556,0.1401755254524382
train,1197,Analyst,0.4375,0.10122019419441547,0.09448429614551301,0.15200232719949014,0.15205381874120183
train,1197,Strategist,0.5625,0.12507065633929274,0.10538284499815588,0.16368406789742435,0.16369699806110746
train,1197,Adventurer,0.6875,0.14738034145560416,0.11718819612902305,0.1753658085953585,0.17538270794409366
train,1197,Innovator,0.8125,0.17231358517632056,0.12318120027139144,0.1870475492932927,0.1812111623906774
train,1197,Visionary,0.9375,0.18559389099934437,0.12952533753001946,0.19872928999122685,0.19473754243145205
train,1260,Guardian,0.0625,-0.09459397736651733,0.5269409000650433,0.11057508924944863,0.11411301924318766
train,1260,Sentinel,0.1875,-0.10095787370360763,0.5388126957057306,0.1206185152468423,0.12066170918151903
train,1260,Pragmatist,0.3125,-0.10908436822537561,0.5569579931554721,0.13066194124423597,0.13072647287050373
train,1260,Analyst,0.4375,-0.10978843710567637,0.5773383076652818,0.14070536724162966,0.14051826936259731
train,1260,Strategist,0.5625,-0.1159133687590946,0.5988572540566574,0.15074879323902335,0.15074045984063902
train,1260,Adventurer,0.6875,-0.1474416234557037,0.5867561186048446,0.160792219236417,0.16087483110875167
train,1260,Innovator,0.8125,-0.21722568040082293,0.6054973771357743,0.1708356452338107,0.15569412382259404
train,1260,Visionary,0.9375,-0.12463325809819838,0.6183022920646608,0.1808790712312044,0.18056074668326222
train,1323,Guardian,0.0625,0.178919610493029,0.20965131226838515,0.35025351218033335,0.35009302914456153
train,1323,Sentinel,0.1875,0.19528467417754786,0.22145310799980536,0.3716382740406333,0.37165463165133206
train,1323,Pragmatist,0.3125,0.21973126542097282,0.23230977472137795,0.39302303590093335,0.3933895741062814
train,1323,Analyst,0.4375,0.24074469010536464,0.2429506721862526,0.4144077977612333,0.4146531303991894
train,1323,Strategist,0.5625,0.24893879917701553,0.2467730341280292,0.4357925596215333,0.43626588538445243
train,1323,Adventurer,0.6875,0.40896410588527876,0.2763773727551293,0.4571773214818333,0.4569130862590648
train,1323,Innovator,0.8125,0.6258816995888238,0.328720498517673,0.4785620833421333,0.4784246995085299
train,1323,Visionary,0.9375,0.6662009976085267,0.34369560142058936,0.49994684520243327,0.5005657219209971
train,1386,Guardian,0.0625,0.11240982430645931,0.27697456883385674,0.3882456420042084,0.4298074633681676
train,1386,Sentinel,0.1875,0.11400019934267372,0.224243543640127,0.41242850968865674,0.4119806439242014
train,1386,Pragmatist,0.3125,0.10397563251379105,0.2163068132442688,0.4366113773731051,0.4366523458517878
train,1386,Analyst,0.4375,0.11570991111322632,0.22403164216052748,0.46079424505755345,0.4607001641059698
train,1386,Strategist,0.5625,0.13393278379128534,0.2405646314000067,0.48497711274200184,0.4847418370740202
train,1386,Adventurer,0.6875,0.17404394734111953,0.33437570961680124,0.5091599804264502,0.509474758074416
train,1386,Innovator,0.8125,0.1061525518819296,0.34364388571755383,0.5333428481108985,0.5340445495285143
train,1386,Visionary,0.9375,0.11960880044507356,0.3546529220298315,0.5575257157953468,0.556726057236714
