slice,t,profile,alpha,ret,vol,target_vol,expected_vol
train,126,Guardian,0.0625,-0.06725669229634562,0.13780203189431042,0.11098623526217108,0.11087503973692289
train,126,Sentinel,0.1875,-0.058623890917540125,0.1572026473760913,0.13520968245587497,0.1351554546693304
train,126,Pragmatist,0.3125,-0.051031100113958915,0.1789502266831652,0.15943312964957887,0.15965985977650365
train,126,Analyst,0.4375,-0.044371927245828786,0.2008001808397255,0.18365657684328276,0.18418665670630713
train,126,Strategist,0.5625,-0.039363588434078146,0.2197218729471524,0.20788002403698666,0.20781707726748166
train,126,Adventurer,0.6875,-0.03717046819400696,0.23290736338232199,0.23210347123069056,0.23162338361316653
train,126,Innovator,0.8125,-0.052165724550143205,0.23892187170448484,0.2563269184243945,0.2564130087913708
train,126,Visionary,0.9375,-0.06929901084516377,0.22685695875151138,0.2805503656180983,0.28121282926551255
train,189,Guardian,0.0625,0.03594695016839029,0.12051447542170454,0.12407439342898594,0.12713677512342614
train,189,Sentinel,0.1875,0.008004923972944413,0.13731535584966953,0.14179693589536002,0.14195177606197665
train,189,Pragmatist,0.3125,-0.007882491119198354,0.15386323800373214,0.15951947836173408,0.15962388677817077
train,189,Analyst,0.4375,-0.03512951837070756,0.18685732047781003,0.17724202082810814,0.17753830498902784
train,189,Strategist,0.5625,-0.0462804006406205,0.20471590078433832,0.1949645632944822,0.1938377708816316
train,189,Adventurer,0.6875,-0.04628040061682085,0.20471590077660565,0.21268710576085628,0.19383777088573168
train,189,Innovator,0.8125,-0.04628039991037816,0.2047159005455953,0.23040964822723037,0.19383777100051416
train,189,Visionary,0.9375,-0.009667835430999229,0.1913722259308996,0.24813219069360443,0.1981828851672189
train,252,Guardian,0.0625,0.11453824711406382,0.13460885011443097,0.12823554347964924,0.1361810735221494
train,252,Sentinel,0.1875,0.12435574198065366,0.12618140572024475,0.1469999682945454,0.14698588734247764
train,252,Pragmatist,0.3125,0.13073417227420656,0.14151803529310344,0.16576439310944155,0.16554088381377938
train,252,Analyst,0.4375,0.1363844532394797,0.16104273987555875,0.18452881792433773,0.184855012423234
train,252,Strategist,0.5625,0.12860232848798978,0.18668873503870284,0.20329324273923388,0.20289183075286943
train,252,Adventurer,0.6875,0.1367906741116999,0.21034848133248477,0.22205766755413003,0.22205550567283847
train,252,Innovator,0.8125,0.1442532349498144,0.22689513066567604,0.24082209236902619,0.24097201207513272
