modelo,ret_medio,vol_media,mdd_medio,n,sharpe_aprox
1/N,0.055944225279414235,0.11615414178673272,-0.048714435589565744,13,1.9265511989105586
ANFIS,0.0376287838356812,0.14043453656883995,-0.0672264677892964,13,1.0717814792584401
MLP,0.06629537782701816,0.14677801918287467,-0.06433227363258073,13,1.8066840851536217
MaxSharpe,0.06574296159798498,0.1524690178917775,-0.0597065926198111,13,1.7247559538856432
MinVar,0.026225000850558285,0.10281889181418326,-0.04900791479533147,13,1.0202405564904446
OWA-Adventurer,0.04619853239501564,0.16280680608236478,-0.0745789377099048,13,1.1350516236193116
OWA-Analyst,0.03280933774427876,0.15062866731799793,-0.071941734620312,13,0.8712641047275208
OWA-Guardian,0.031484869426807324,0.11938750135091561,-0.04985263557185549,13,1.054879918602664
OWA-Innovator,0.050337068317127774,0.1748482678820084,-0.07492441384263498,13,1.1515600109026272
OWA-Pragmatist,0.031069162855713782,0.1424200040374753,-0.06820370087404823,13,0.8726067118363088
OWA-Sentinel,0.02974712236750771,0.12709927130712437,-0.057958635145482114,13,0.9361854576058541
OWA-Strategist,0.0306993662962997,0.1570062939872621,-0.07541408634021364,13,0.7821181053745613
OWA-Visionary,0.05572729790705812,0.19412338996033746,-0.08276708021860056,13,1.1482861064489778
