t,modelo,ret,vol,mdd
2079,1/N,-0.0299396302763064,0.133363416884873,-0.1326379079118314
2079,MinVar,0.0131615038848005,0.1451392784746553,-0.1150082904147724
2079,MaxSharpe,-0.0209753286703787,0.2543361970779449,-0.128581499856237
2079,MLP,-0.0546038903787539,0.15122768810833,-0.1388765499203076
2079,ANFIS,-0.0272468673008387,0.1602489275162833,-0.1546308983266092
2079,OWA-Guardian,-0.0435339229099376,0.1424356289248154,-0.0860308025502576
2079,OWA-Sentinel,-0.0659351387185164,0.1423542038324408,-0.1176586692471372
2079,OWA-Pragmatist,-0.0723356650080206,0.1561188857392458,-0.1287357312488366
2079,OWA-Analyst,-0.0779362012232545,0.1716629787200905,-0.1404748259775748
2079,OWA-Strategist,-0.074743077258309,0.1923223340143817,-0.1473531524451639
2079,OWA-Adventurer,-0.0841620402054436,0.2025552517621821,-0.158389484634045
2079,OWA-Innovator,-0.0979189744005185,0.2102699702293299,-0.1706192808016232
2079,OWA-Visionary,-0.0365664262639834,0.1894746033598923,-0.1170158843625222
2142,1/N,0.1012365769372817,0.1413822116336533,-0.0514391677119087
2142,MinVar,0.0495359638096882,0.1558708375686142,-0.054417484511302
2142,MaxSharpe,-0.0107281333281573,0.2367634947096127,-0.0683295519332166
2142,MLP,0.1038982419305007,0.1501170292341784,-0.0536384083482014
2142,ANFIS,0.0730838878917953,0.1516440789036591,-0.0507104396396843
2142,OWA-Guardian,0.0381872907117076,0.1595969544158435,-0.0523398905637028
2142,OWA-Sentinel,0.0198692504406208,0.1615097413056462,-0.061678939477935
2142,OWA-Pragmatist,0.0113486143573793,0.1691265945360727,-0.069675099054339
2142,OWA-Analyst,0.0047327192712725,0.1785660500655052,-0.0773440262726692
2142,OWA-Strategist,0.0015829574703791,0.1891115389737672,-0.0830853913318325
2142,OWA-Adventurer,0.0020930309486477,0.1963269843338414,-0.088997752398649
2142,OWA-Innovator,0.0865005616242144,0.1821490016387802,-0.0660422496155684
2142,OWA-Visionary,0.1429950537498028,0.190202378362163,-0.0587390329433038
2205,1/N,-0.1056798900082375,0.1461044092056981,-0.1344033520823804
2205,MinVar,-0.1048348219383754,0.1588666779029162,-0.1383225213657353
2205,MaxSharpe,-0.1467605715976926,0.1807245008485978,-0.1706994530484081
2205,MLP,-0.0849563179861588,0.1775505904536667,-0.1185157734057738
2205,ANFIS,-0.1561575480936617,0.1537536114398746,-0.1590037946443158
2205,OWA-Guardian,-0.0919441030093013,0.148959662630588,-0.1385932040765175
2205,OWA-Sentinel,-0.1053527021520628,0.1458129462138426,-0.139859940033824
2205,OWA-Pragmatist,-0.1145648525358363,0.172771700479122,-0.1487077357223318
2205,OWA-Analyst,-0.1180254825832189,0.162854629618607,-0.1361742481227111
2205,OWA-Strategist,-0.1089296702620383,0.1633060409307511,-0.1345598222250925
2205,OWA-Adventurer,-0.1037298257837658,0.1725357704378471,-0.121153594801493
2205,OWA-Innovator,-0.1334376341752537,0.1816200002662058,-0.150477006750242
2205,OWA-Visionary,-0.1462981230108181,0.1847607489790138,-0.1627344871815074
2268,1/N,0.0815019080617303,0.1305321705002068,-0.0320233419859594
2268,MinVar,0.0247260436684112,0.144127330802939,-0.0418081075536834
2268,MaxSharpe,0.1617755746912219,0.154935922205557,-0.0552100105387319
2268,MLP,0.081382072508361,0.1507788473707338,-0.0377826120682444
2268,ANFIS,0.093978334237049,0.145393037976183,-0.0367486006887357
2268,OWA-Guardian,0.0382693008504022,0.1369982022954285,-0.030945911803146
2268,OWA-Sentinel,0.0311986675243628,0.1328079566432545,-0.0283220910578587
2268,OWA-Pragmatist,0.0284384592029587,0.1351068509324706,-0.029123761892891
2268,OWA-Analyst,0.0276559621214222,0.1404943910338841,-0.0294672610071716
2268,OWA-Strategist,0.1027488748268914,0.1446062995650275,-0.0281595600311149
2268,OWA-Adventurer,0.0988303685181391,0.1550052973327538,-0.0319649422749561
2268,OWA-Innovator,0.0998805086227864,0.1671984035888163,-0.0398997189838888
2268,OWA-Visionary,0.1046690858016922,0.1713398024829756,-0.039456081168594
2331,1/N,0.2268711917586274,0.1279906355052916,-0.0594218132370548
2331,MinVar,0.2575088819469746,0.1305472679969765,-0.0444719901232116
2331,MaxSharpe,0.2017473480050819,0.1678273529593271,-0.0395388181150385
2331,MLP,0.241031360181722,0.1328949437873255,-0.0477383951123657
2331,ANFIS,0.2145329031274851,0.1417400738199173,-0.0726755985510991
2331,OWA-Guardian,0.2294007802725697,0.1336409989525868,-0.0530172873771018
2331,OWA-Sentinel,0.2267849280874631,0.1345191240673562,-0.0539439485981616
2331,OWA-Pragmatist,0.2249618436347786,0.1390766400390797,-0.0548895418484747
2331,OWA-Analyst,0.2235350640531203,0.1447016661178418,-0.0556489815289222
2331,OWA-Strategist,0.2478021990868447,0.1377407169602818,-0.0487063494190648
2331,OWA-Adventurer,0.2485860852597324,0.134024435148388,-0.0443402306420463
2331,OWA-Innovator,0.2293989627060464,0.1372372602289697,-0.0363712632442428
2331,OWA-Visionary,0.1959592070460613,0.1372571753006888,-0.0290133557329296
2394,1/N,0.1245687261965473,0.2500624444623455,-0.0734249019605486
2394,MinVar,0.171379777190874,0.2274874142141355,-0.049383509716008
2394,MaxSharpe,0.1117031954487194,0.2718717767149428,-0.0877908715242575
2394,MLP,0.1591671571590211,0.2476225545756505,-0.0571733479464446
2394,ANFIS,0.1351712641046313,0.2016450324051424,-0.0490400410438102
2394,OWA-Guardian,0.1000969340891404,0.322009889237552,-0.0899122068211255
2394,OWA-Sentinel,0.1422659186101142,0.2801050257300613,-0.0706815772145263
2394,OWA-Pragmatist,0.1486601166401338,0.2727091539259518,-0.0634103667986966
2394,OWA-Analyst,0.1316550001828971,0.2986462163790124,-0.090717977096091
2394,OWA-Strategist,0.1288841824294731,0.3051521990111676,-0.0970143191033895
2394,OWA-Adventurer,0.1268338164868506,0.320127900946022,-0.1018177007480003
2394,OWA-Innovator,0.1241662511819799,0.3497507583735543,-0.1129660528435673
2394,OWA-Visionary,0.1249606042925665,0.4111223165774721,-0.1331945056406414
2457,1/N,-0.0201561364121713,0.1011018914239584,-0.0627658871010676
2457,MinVar,-0.0101968434655889,0.1253498337593784,-0.0591837619297513
2457,MaxSharpe,0.0324317220647071,0.1206589022882199,-0.0503393378426705
2457,MLP,-0.0594467321398221,0.1130338170846903,-0.0840836104629766
2457,ANFIS,-0.051384016286577,0.1191278222890562,-0.0827361464398831
2457,OWA-Guardian,-0.014210080087018,0.0945121412743597,-0.0604925684029636
2457,OWA-Sentinel,-0.0142100867275986,0.0945121407659237,-0.060492572286724
2457,OWA-Pragmatist,-0.0142100925503444,0.0945121403208241,-0.0604925756924006
2457,OWA-Analyst,-0.0236141343643549,0.0953455314454505,-0.0742996690722719
2457,OWA-Strategist,-0.0231812014624863,0.1003523867644442,-0.0796158995635966
2457,OWA-Adventurer,-0.025334805615197,0.099721992323868,-0.0751714361576804
2457,OWA-Innovator,-0.0462452626925857,0.0988069428915168,-0.068624999368767
2457,OWA-Visionary,-0.0393305891429341,0.1115726661216068,-0.0579328021002941
2520,1/N,0.0870242394444677,0.0887802074486081,-0.0167462304723627
2520,MinVar,0.0443037749013695,0.0997256588279713,-0.0238285552318854
2520,MaxSharpe,0.1480164140706505,0.1155999029223247,-0.023491103301365
2520,MLP,0.0348273691372004,0.0947051095093113,-0.0300865346858659
2520,ANFIS,0.0348273691372004,0.0947051095093113,-0.0300865346858659
2520,OWA-Guardian,0.0695713134792347,0.1233405385507134,-0.0318638835435839
2520,OWA-Sentinel,0.0695713134792347,0.1233405385507134,-0.0318638835435839
2520,OWA-Pragmatist,0.0707621781431742,0.1184518828198501,-0.0304425163174955
2520,OWA-Analyst,0.0516351153292867,0.1027159743718083,-0.027103091037692
2520,OWA-Strategist,0.0160912072359424,0.0914730622271057,-0.0361705154991615
2520,OWA-Adventurer,0.0168398512259888,0.0937482381194265,-0.0355554087207513
2520,OWA-Innovator,0.0163404903085792,0.0978486551293616,-0.0334045383118417
2520,OWA-Visionary,0.116413805649536,0.1341267252019442,-0.0368693423697341
2583,1/N,0.1224656345972043,0.3029353027291716,-0.0717816865842813
2583,MinVar,0.0961082514076853,0.2188632086250788,-0.0486248144444607
2583,MaxSharpe,0.1754210864819946,0.3797158502677599,-0.0933310940091305
2583,MLP,0.1342238057035051,0.2996431550445705,-0.0662006404793293
2583,ANFIS,0.1430152382510156,0.2615451502994271,-0.058697493272096
2583,OWA-Guardian,0.116521740325089,0.2134236858453644,-0.0436450975996682
2583,OWA-Sentinel,0.0683347115070805,0.2740387014659844,-0.0494439714622586
2583,OWA-Pragmatist,0.0592555010400034,0.2840388430596333,-0.0514934957429212
2583,OWA-Analyst,0.0587571910062848,0.3124822235594284,-0.0580555467086311
2583,OWA-Strategist,0.0575541269924681,0.3314111230655205,-0.0630905644804511
2583,OWA-Adventurer,0.1664944470282716,0.4092842454419438,-0.0983031621161872
2583,OWA-Innovator,0.1714718463207614,0.434497653304503,-0.1109963806588423
2583,OWA-Visionary,0.1652758503007859,0.4341183871257635,-0.1184199572437227
2646,1/N,0.11151076347788966,0.1326391044954142,-0.044044605724131825
2646,MinVar,0.12321742132858805,0.1264753149894094,-0.02554382907196895
2646,MaxSharpe,0.12939262596225126,0.1302777999455166,-0.03745912572297361
2646,MLP,0.12079364385335593,0.12995732083770944,-0.03763929363704821
2646,ANFIS,0.1254365572215819,0.1302919052411227,-0.036014895911014144
2646,OWA-Guardian,0.0964817834255556,0.16913455987536904,-0.06100135224228387
2646,OWA-Sentinel,0.08980756130438977,0.16048052833542958,-0.059270588915041
2646,OWA-Pragmatist,0.07836176195789495,0.1562939356757659,-0.0564071878543545
2646,OWA-Analyst,0.07085555594400922,0.1610925778688556,-0.050884896894212495
2646,OWA-Strategist,0.058049610779380534,0.18432218633057543,-0.05836322763064694
2646,OWA-Adventurer,0.06898684385412593,0.17984596361573055,-0.05504050655312087
2646,OWA-Innovator,0.08468914144410783,0.17175856737872042,-0.04805880926466477
2646,OWA-Visionary,0.17831604356694697,0.16808804007991396,-0.05277794449172746
2709,1/N,0.08382940859806048,0.12859471151193883,-0.04860777286361928
2709,MinVar,0.06788898033847979,0.20309667003668547,-0.0758010803822502
2709,MaxSharpe,0.18323922462989892,0.10152072921924005,-0.016222895821248473
2709,MLP,0.053729960063218146,0.2053122232088297,-0.08363396672612988
2709,ANFIS,0.030654125982006078,0.1807983168628847,-0.06922191826140633
2709,OWA-Guardian,0.08570912840671875,0.09976202094810417,-0.015422330517839922
2709,OWA-Sentinel,0.11655026712626294,0.1291029440716038,-0.041765301546495714
2709,OWA-Pragmatist,0.10203007550712381,0.2021780916649673,-0.08125579269100835
2709,OWA-Analyst,0.11884464491977449,0.20348475476131148,-0.07685057503199144
2709,OWA-Strategist,0.1297097517567957,0.2068554700080788,-0.07435489442886767
2709,OWA-Adventurer,0.15053750902265975,0.20685835863862542,-0.0709186895032321
2709,OWA-Innovator,0.2646670827720532,0.1506885861665899,-0.0233849700337998
2709,OWA-Visionary,0.2625872124565677,0.12134659194263502,-0.01788117216678342
2772,1/N,0.13545159531659215,0.1275103227327713,-0.034722650375626385
2772,MinVar,0.17651722374597184,0.1843786565369926,-0.038720066897884875
2772,MaxSharpe,0.2809945081206977,0.2990589890177183,-0.06909436408376424
2772,MLP,0.12738059897816129,0.12264999412532823,-0.03308121785383544
2772,ANFIS,0.13549547438848522,0.13330994889584155,-0.03528714510173003
2772,OWA-Guardian,0.20754730463847623,0.2090338620857576,-0.04751202044320735
2772,OWA-Sentinel,0.19981816844187353,0.2605725061653438,-0.06278886620076218
2772,OWA-Pragmatist,0.1935859740119354,0.28678522713072235,-0.06738348513895098
2772,OWA-Analyst,0.18607544047920993,0.30201851422785875,-0.06985552957697161
2772,OWA-Strategist,0.18405569106505432,0.30124033877269163,-0.06970304150550244
2772,OWA-Adventurer,0.18335881433908868,0.3010202026961217,-0.06965042835149093
2772,OWA-Innovator,0.18357022497742875,0.30108435592830296,-0.069666389540471
2772,OWA-Visionary,0.18436918983654452,0.3013474770860502,-0.06972671019783616
2835,1/N,0.06251870538417933,0.2001947583509597,-0.12033688155822353
2835,MinVar,0.0415935532417121,0.18831472150666473,-0.12027145325958943
2835,MaxSharpe,0.07114229775021261,0.2906572086838466,-0.14408850884392876
2835,MLP,0.03614127180024351,0.16544239420571605,-0.10648687798556289
2835,ANFIS,0.010123912599268335,0.19491814745244493,-0.14396029724183934
2835,OWA-Guardian,0.022501994630000504,0.23740523685592138,-0.145011208980784
2835,OWA-Sentinel,0.04116959462794537,0.28772437846592386,-0.16625478321675446
2835,OWA-Pragmatist,0.07236176712662207,0.3298752822431749,-0.18899894367092418
2835,OWA-Analyst,0.09830348409488288,0.3162344068841043,-0.16625647889962858
2835,OWA-Strategist,0.11003131724398962,0.3398030601834395,-0.17099486622292093
2835,OWA-Adventurer,0.12386177114439297,0.36117057437984956,-0.17493742363133158
2835,OWA-Innovator,0.12260452809327936,0.34050679989572036,-0.16392231414166658
2835,OWA-Visionary,0.1081017400489442,0.26499683165697085,-0.14074299449485705
2898,1/N,0.03085751734494068,0.22147763834097334,-0.0876554331078887
2898,MinVar,0.015700052634174257,0.24425321206030903,-0.11110572434304289
2898,MaxSharpe,0.05155739981318659,0.22902482715853642,-0.04971104947017657
2898,MLP,0.03448271701093025,0.26050778151619497,-0.10695130835819466
2898,ANFIS,0.028210658596744882,0.20198330292468747,-0.0837960734599783
2898,OWA-Guardian,0.033198516991865386,0.22113425818760507,-0.0997484985659931
2898,OWA-Sentinel,0.031160497642712462,0.2146601769464691,-0.1013451661006669
2898,OWA-Pragmatist,0.029967673304202677,0.2173381298990643,-0.10249012039560168
2898,OWA-Analyst,0.029496959548406948,0.22497005393285774,-0.10359513139410415
2898,OWA-Strategist,0.03033033904796545,0.2371073651475151,-0.1037773215009754
2898,OWA-Adventurer,0.03276567346552758,0.2569814271743231,-0.10247795748859978
2898,OWA-Innovator,0.04052214254673038,0.20130740982193898,-0.07447902706611076
2898,OWA-Visionary,-0.0043295288411160865,0.25046518206183094,-0.09265285186605676
