modelo,ret_medio,vol_media,mdd_medio,n,sharpe_aprox
1/N,0.03639015343612906,0.1306695980293769,-0.06311532454877677,5,1.113959298411491
ANFIS,0.005793599528524429,0.1653667166628125,-0.08589535903941933,5,0.14013943423301425
MLP,0.04252889747584116,0.16877975421787433,-0.08441909117615684,5,1.0079146677969795
MaxSharpe,0.06851304560260203,0.15642630831181442,-0.06184677218344188,5,1.7519571059883523
MinVar,0.03573923960363455,0.11494871128861146,-0.04896322568240659,5,1.243658644033025
OWA-Adventurer,0.06946268497116305,0.16152175415307926,-0.07133465484817396,5,1.7202063049744016
OWA-Analyst,0.047794715701875545,0.15773540541029613,-0.07331151360446206,5,1.2120225152381867
OWA-Guardian,0.051134187001690215,0.1391917623651115,-0.05640169426099597,5,1.469460150021264
OWA-Innovator,0.04881894075420387,0.1724611723643476,-0.07226035315664339,5,1.13228827300483
OWA-Pragmatist,0.048967318973185944,0.15659358827846445,-0.07332248697063086,5,1.2508128720087623
OWA-Sentinel,0.050219212638351426,0.1378469286198578,-0.05638146800504318,5,1.4572457476173901
OWA-Strategist,0.04481587001221342,0.1567798978665774,-0.07269789718071432,5,1.1434085778102128
OWA-Visionary,0.033322091570326305,0.2090996241304183,-0.09357021124630291,5,0.6374395307290053
