,rmse,mae,mape,ndcg_at_k,mrr,ordinal_consistency
Guardian,0.15016034475826992,0.12268312961130132,45.825054836854456,0.7566606618514428,1.0,0.4857142857142857
Sentinel,0.12566489136732026,0.10154574211751631,26.669177616821553,0.8153112288367126,1.0,0.5904761904761905
Pragmatist,0.11428984925774548,0.08897676907542654,19.40759794957593,0.8682284870493351,1.0,0.6571428571428571
Analyst,0.10628483639167809,0.08120885863339086,15.450068183591467,0.8582789530896471,1.0,0.6761904761904762
Strategist,0.09971768636032836,0.07453296204290126,12.700074419279398,0.8724620096788493,1.0,0.6952380952380952
Adventurer,0.09539194641508938,0.06771893440077954,10.56754913646287,0.8981035580373126,1.0,0.6952380952380952
Innovator,0.09491167875464128,0.06510934159144557,9.474676813725461,0.8806195002109417,1.0,0.6952380952380952
Visionary,0.09963467531560731,0.07428896787458002,10.049815083957817,0.8724504624042447,1.0,0.6571428571428571
